material,sample_id,has_before,has_after,pair_complete,fft_b_len,fft_a_len,freq_min_mhz,freq_max_mhz,roll_gap,web_speed,calendering_speed,coat_weight_gsm,thickness_before_um,thickness_after_um,density_before_g_cm3,density_after_g_cm3,before_json_sha256,after_json_sha256
Cathode,NMC622_1,True,True,True,29,29,0.9975062344139651,14.962593516209477,525.7267759562841,0.5,,141.0,72.66666666666667,64.0,2.445086705202312,2.877551020408164,0b1f99016bc02b13adf0470afacee6d7bccf863c6da50fe1347dd006019e6d03,37d1decffbe445981184f6f84a22efe28051afdff4aba679702a51d629935da3
Cathode,NMC622_10,True,True,True,29,29,0.9975062344139651,14.962593516209477,538.2732240437159,1.0,,182.0,86.33333333333333,78.0,2.537383177570093,2.873015873015873,cdc9f3a16d6c49c6c5cba5c1d66a00eeb6b6e0d60b738698c9961f89ce353877,52327f1ae9e9966095992de05951c53703123b33495e3b9d65e842d89120b611
Cathode,NMC622_11,True,True,True,29,29,0.9975062344139651,14.962593516209477,491.0491803278689,1.0,,182.0,87.33333333333333,69.0,2.557603686635945,3.425925925925926,6afddffad580937a83c2b0fa1748b8e041c581a518d66d1e6fd2faa4f5a6b4c2,ab6401573c41e5c06b59b55c52e2d075939ba1ba9abe9e372371f735a0eba0a6
Cathode,NMC622_12,True,True,True,29,29,0.9975062344139651,14.962593516209477,443.4098360655738,1.0,,182.0,88.0,64.0,2.534246575342466,3.775510204081633,1a555d4edf06af3250bcde50d5ce81a86bec0d73aef5db6b86ec9e3649647281,f4c226bf97a54982891ac6ef9f7571baea7624bd71c1ad88c7166afdcb00c886
Cathode,NMC622_13,True,True,True,29,29,0.9975062344139651,14.962593516209477,552.0437158469946,0.5,,218.0,101.3333333333333,91.0,2.501930501930502,2.842105263157895,6a67c366cc9b0d91aa78296c7ee26497c021b35c079d01040ee9a79b4e3a2d65,f5dafed71171eb9f6c9c4a28ef93ee2c11bca236575e2a7e70d572924ea3d17f
Cathode,NMC622_14,True,True,True,29,29,0.9975062344139651,14.962593516209477,502.1967213114754,0.5,,218.0,100.6666666666667,79.0,2.544747081712063,3.40625,46610e6f2efde83f6af80d5b6e69c9eed6446761bcaa69276e0607c41b2a3bf2,a019ac0027c1ef52f891a04a65c8797b22ca21d14a7c93b44a8977fd8dc3de5a
Cathode,NMC622_15,True,True,True,29,29,0.9975062344139651,14.962593516209477,451.9562841530055,0.5,,218.0,99.33333333333333,73.0,2.513833992094862,3.655172413793104,4832c9365cbc8c696bc849ab5393abe217a5dcbd3908d012fc7cecccbd225fe2,9b3726e602d2f0cddb2c6b16456148be4c4351b5e3261b79d71221b3a8529084
Cathode,NMC622_16,True,True,True,29,29,0.9975062344139651,14.962593516209477,540.4153005464481,1.0,,218.0,88.66666666666667,80.0,2.51131221719457,2.846153846153846,606add478b9d68e1d439cdb4c77b947fb565f7f22f76e87676e88e68fe6303a5,e510eea3d58eea2ce9efd4c5286bfe98ed1dca7907f3e7cb6098e8a5cbfd382f
Cathode,NMC622_17,True,True,True,29,29,0.9975062344139651,14.962593516209477,491.6065573770492,1.0,,218.0,88.0,69.0,2.52054794520548,3.407407407407407,f9e9ba98afa8c0f2b1e39ed6ee892cd969b6fc287c67f0812c234fc721206cee,8b9fd978e5b8427c24ecb019a4a8f25b838f862440f50c0b1ad3f5b712d7dcc2
Cathode,NMC622_18,True,True,True,29,29,0.9975062344139651,14.962593516209477,443.4098360655738,1.0,,218.0,88.0,65.0,2.506849315068493,3.66,615fda8cd4bbc3f8b5e6db99acf3196573673319c6abc89026a26ad541c2c723,992451864a8e7dd4ad8bbaaafcdee398a0d06e096bc3e6f575f7bb08ce5e0768
Cathode,NMC622_2,True,True,True,29,29,0.9975062344139651,14.962593516209477,478.7868852459017,0.5,,141.0,72.66666666666667,56.0,2.445086705202312,3.439024390243903,d772c32689ada8fbdd024850100c933f197edea8bba66b23ef7914e490fbd08d,da7d39e6b4abfd210832e887b424da2ceb5f26ca14ce1ea5fe69a04d6896d22b
Cathode,NMC622_3,True,True,True,29,29,0.9975062344139651,14.962593516209477,431.5956284153006,0.5,,141.0,72.33333333333333,53.0,2.459302325581396,3.710526315789474,43e1bd362ef01d6691314d2f522ab515f79060c014abd56afb456fb4b235e934,851f63d71ec5b5adbe5cff474c36c77123c79780b7d42d81b5c10183487e6fe7
Cathode,NMC622_4,True,True,True,29,29,0.9975062344139651,14.962593516209477,523.5846994535519,1.0,,141.0,70.33333333333333,64.0,2.421686746987952,2.73469387755102,6882ba1b80afda36cb55c8bb4cdee2b7559290f0bb593dd01bc0ef8318af7abd,c060738a6216fe206d5fa5d060696cb857afdf9637236da18b0617e0e409c92e
Cathode,NMC622_5,True,True,True,29,29,0.9975062344139651,14.962593516209477,476.8360655737706,1.0,,141.0,70.33333333333333,54.0,2.421686746987952,3.435897436,ee04f5f8fb674e691f8bd4c70c16c80cfa1268c0276cddefc98bf4c19bca5961,80b16541e787a8b8a0b00c4616a4ed354b3d13587f342babed22c59f3975ba45
Cathode,NMC622_6,True,True,True,29,29,0.9975062344139651,14.962593516209477,430.8415300546448,1.0,,141.0,71.33333333333333,51.0,2.431952662721894,3.805555555555555,bce363f85e5ddcf36387ed3315043a3d5ef4d6d100ffec8d48da8d4394832f1d,fcdd4723fb23b03a5158551fbba39c2766de317adbad5be2b1ec2c026f3619c7
Cathode,NMC622_7,True,True,True,29,29,0.9975062344139651,14.962593516209477,540.4153005464481,0.5,,182.0,88.66666666666667,78.0,2.51131221719457,2.936507936507936,38b68b6cabd3e430939019a1c35e64ae0c4863c41e9d855c352c21515dbb7ae6,e8b0887f4c801d3ec6caceaa476bbae0089a359b7d7805ee6aed67524265a2e3
Cathode,NMC622_8,True,True,True,29,29,0.9975062344139651,14.962593516209477,492.4426229508197,0.5,,182.0,89.0,70.0,2.527027027027027,3.399999999999999,66f1562d70f6dd5777812c5b4b837076cfb5628d3fdf0d3f8f6787d3220563f5,7c2fd656146d35b5345e0401893e01bfd025263002381e5ab436aef73c6e7815
Cathode,NMC622_9,True,True,True,29,29,0.9975062344139651,14.962593516209477,444.1639344262295,0.5,,182.0,89.0,65.0,2.527027027027027,3.74,09f93cd4f9fdd16465f05325459c2958691d21c66f96cdab0d47717e20933a25,82f39f96c13842cf1e60d21965ee545685852e01ede61b8c8583e4976d3b8629
Anode,GA_1,True,True,True,36,36,0.8,14.8,3.0,,1.0,,46.0,34.0,0.8888888888888888,1.333333333333333,caeb1ee5bc5f939c7ad62a09449957f59fb1ab23a14bf768b5eb9647de5c0088,e769749b8757d6f7dd68e873ef6c938f22ec06ec518cc9649c8f15aff37086c5
Anode,GA_10,True,True,True,36,36,0.8,14.8,1.0,,3.0,,150.6666666666667,119.3333333333333,1.002369668246446,1.289634146341464,6e96646e74be4d723b5cfe65f403445870da29b8be53d570a121cd88d49387de,613bd9929028ec9cff15f5776f0764672214aa5cbdf8c6965c801b305db18077
Anode,GA_11,True,True,True,36,36,0.8,14.8,3.0,,3.0,,45.0,33.66666666666666,0.8857142857142857,1.309859154929577,5fe7de582377435aba290ccad65a44dd38edcf49d7e1d8a7e5ed6824c3c4de37,d1b9992f2b360bae24a2c9b8a7393f57285b9802c7b99fef35b9fa407b485a8f
Anode,GA_12,True,True,True,36,36,0.8,14.8,3.0,,3.0,,151.6666666666667,137.0,0.9882352941176472,1.102362204724409,47cf10333c9086cd9c496cee524ff036babee8d227fc0eb8e669360152debce6,4e8ebe429dc03bc41fc44e0789effcb880bbcc2fa9c526d31ae5624c453085d2
Anode,GA_13,True,True,True,36,36,0.8,14.8,3.0,,3.0,,91.66666666666667,81.33333333333333,0.979591836734694,1.121495327102804,9e411071f844bec6c7efbe6b325c618fd7e2e541997018c55758d1b5a76def2e,097c9da45a50c886dc820fcd818b5aacf02c29bd319573123dfc37ccc2becabf
Anode,GA_14,True,True,True,36,36,0.8,14.8,3.0,,3.0,,150.3333333333333,136.0,0.9904988123515438,1.103174603174603,8de855621d75aefeb6e1b69d967ade7241f6534d6382ca38eb601e59e690ea99,bd95fd50667945381e49f149415bbf1aebe142d58642a95e861d82f65ffd4d70
Anode,GA_15,True,True,True,36,36,0.8,14.8,3.0,,3.0,,111.0,97.33333333333333,0.9702970297029703,1.122137404580153,57835e00f148da9f227ff9b5d1e419dedb9038606108f00818d9ad4b6a79e852,92b4818f9965e63802f1af06449ff84ae25b5b77619b7e6fa36e8e0869787688
Anode,GA_16,True,True,True,36,36,0.8,14.8,2.0,,3.0,,109.3333333333333,85.66666666666667,0.9765100671140939,1.281938325991189,5da76ddc2c38c5d1c1e782b297fce7e0076290321c5b59f0af734f703443b4f7,b703f2d0204d33c72d9e553ad65c83e3abc7a668e19a19ea66f1f3f17eb4fd3f
Anode,GA_17,True,True,True,36,36,0.8,14.8,2.0,,3.0,,45.0,30.0,0.9142857142857143,1.6,b4e203b4015af741907840b06072abb13299d0071594afc8d5644e1967c317ad,25f2ec6f27c21ed78ec7eb415e35c966d79f4704cc75beaa0717edd099507091
Anode,GA_18,True,True,True,36,36,0.8,14.8,2.0,,3.0,,110.0,86.66666666666667,0.97,1.265217391304348,28a6c887347c09f3852f57194356707d1c094608a77ffd2790712c7fdabf747d,0c2945cd4771d9d17e94545029e72c5b9b9fc9cb98d8108a874386edeb133e4b
Anode,GA_19,True,True,True,36,36,0.8,14.8,2.0,,3.0,,121.3333333333333,98.66666666666667,0.970059880239521,1.218045112781955,6ff572f703e250ae45cf2163673bd777fe2d352258c966d6a16eeb966aaa5a0f,6945a3f879df4dc37f57beedda532d41738f3e32c606e5ac555a7c5c7ee69bcd
Anode,GA_2,True,True,True,36,36,0.8,14.8,3.0,,1.0,,107.6666666666667,94.0,0.9726962457337883,1.130952380952381,7da5a371f79fe02e2f01567fcb4ea64792273fd0cfc7ac1a68682ac4c52086f2,d2e1f15b491d9ed13dbb39c22f5507be62a5a248593b04cce7537cc2c3a692ae
